chisq,lecs_init,lecs_final
0.8773,"(-22.0, -4.6, -21.5, -20.0, 11.0, -6.4, 433, 0.012336, 1, 1, 0, 1)","(-1.2932428940034062, 2.28914786012023, -0.8044105303913829, -6.496908072915655, -14.879167873809616, -2.3730975215263856, 368.7640798274421, 0.012336, 1.0, 1.0, 0.0, 0.46791574621037957)"
0.8782,"(-19.3, -3.8, -21.1, -7.9, 30.6, -49.6, 433, 0.012336, 1, 1, 0, 1)","(-1.313524843791792, 2.3403155266489053, -0.8179700458118851, -6.523032939927212, -16.59539689252659, -2.3030681317738906, 364.6365047574548, 0.012336, 1.0, 1.0, 0.0, 0.4750809126172042)"
0.9096,"(-5.0, -35.0, 44.7, -34.8, 21.2, -19.6, 433, 0.012336, 1, 1, 0, 1)","(5.924261378567662, 6.116422009853553, 0.39697762428980266, -5.098039039263865, -66.75817420021937, -4.080373884166581, 474.8764239508073, 0.012336, 1.0, 1.0, 0.0, 1.0360039005377106)"
0.9522,"(47.2, 18.1, 6.5, -27.8, -38.9, -35.1, 433, 0.012336, 1, 1, 0, 1)","(-0.6636618534833759, 1.0683525354992047, 3.081386113052827, -4.325411010969799, -215.09524531727305, -5.3120219109718, 590.3287162983047, 0.012336, 1.0, 1.0, 0.0, 0.22279067595771035)"
0.9611,"(40.9, 8.4, -49.4, -0.2, -11.7, -33.8, 433, 0.012336, 1, 1, 0, 1)","(-2.5714188950977244, 2.929088077656089, -2.199149718932359, -7.280407691061396, 43.21473008728718, -1.5080726120681063, 329.8822131617106, 0.012336, 1.0, 1.0, 0.0, 0.5402320932599798)"
0.981,"(-20.8, 40.6, 35.6, -12.3, -25.3, 19.3, 433, 0.012336, 1, 1, 0, 1)","(7.143905843054831, 6.798541856991632, -0.09664515138267778, -5.065012028499636, -64.69878993237752, -3.862986385408576, 462.5051694688334, 0.012336, 1.0, 1.0, 0.0, 1.1305010772809003)"
0.9915,"(-23.8, 12.8, -27.2, -10.3, -31.6, -28.5, 433, 0.012336, 1, 1, 0, 1)","(-3.290575539236921, 3.133549432200906, -2.884296301308637, -7.4503201243998705, 57.48234211462901, -1.5945646198586136, 332.105169489408, 0.012336, 1.0, 1.0, 0.0, 0.5483452488222231)"
0.9917,"(37.4, -6.3, 49.4, 9.1, 5.1, -4.7, 433, 0.012336, 1, 1, 0, 1)","(6.567162372645342, 5.82394495503551, 0.6504234495133494, -5.391605710487239, -91.2136821464743, -5.079760979362258, 399.64809360325035, 0.012336, 1.0, 1.0, 0.0, 1.1770265797460797)"
0.9958,"(-42.4, 15.4, -41.3, -1.1, -27.9, -31.4, 433, 0.012336, 1, 1, 0, 1)","(-2.678282122220315, 2.69755460507875, -2.5869515583316125, -7.2338967785966295, 103.5967065714561, -2.700619150354836, 335.1883042474618, 0.012336, 1.0, 1.0, 0.0, 0.5315983779064595)"
0.9963,"(29.6, 7.2, -23.2, -4.2, -31.2, -6.8, 433, 0.012336, 1, 1, 0, 1)","(7.821687620951857, 8.389695081210574, 0.08412214862255256, -2.6069420165992603, -42.27879146302271, -3.0242037997542743, 711.0809242343488, 0.012336, 1.0, 1.0, 0.0, 0.931282980882539)"
