pole_rs1,pole_rs2_low,pole_rs2_high,pole_rs3
NaN + NaN*im,6.202599070405429 + 0.011615966796477356im,6.542054878250064 - 0.2815736696763745im,6.817567181235516 + 0.14162920288408568im
NaN + NaN*im,6.195050887664376 + 0.009426185385193612im,6.5069137931416385 - 0.3146384804580485im,6.803498670786868 + 0.14356074428778778im
NaN + NaN*im,6.206211271905108 + 0.011300144221308319im,6.561920113494325 - 0.24114456379261112im,6.833687334711501 + 0.13585155847553168im
6.191531449193069 - 4.853832313210521e-13im,6.162378610450939 + 9.279726384909982e-11im,6.536490593997996 - 0.2444966170626585im,6.830430438087456 + 0.14341412651424684im
NaN + NaN*im,6.203861905735042 + 0.011154770273504125im,6.548035580708028 - 0.2310888050062376im,6.836200582348676 + 0.13198678756898044im
NaN + NaN*im,6.200330898519028 + 0.011360412373334095im,6.543326221478147 - 0.2934726267940234im,6.798195721464548 + 0.14496618141245718im
6.187119409769936 - 1.2431662879000136e-11im,6.153299792520217 + 1.1080230976975906e-12im,6.535003105767993 - 0.27164701780455597im,6.8192471457064245 + 0.14769675359640183im
NaN + NaN*im,6.200077177705442 + 0.010508512220031031im,6.529720052762437 - 0.2563680566984583im,6.82507830976138 + 0.13414168456562583im
NaN + NaN*im,6.204995666544702 + 0.012385335343177501im,6.554822632625045 - 0.3156790391982133im,6.804974232291091 + 0.15093734518970015im
NaN + NaN*im,6.200256203943774 + 0.010524882918107367im,6.530720430662906 - 0.2507230837085094im,6.827133901137861 + 0.13326054802099965im
6.18511361850798 - 1.795190038194249e-12im,6.153136603011838 + 1.0723205357672326e-12im,6.552472413582291 - 0.2545902622002455im,6.820253896104363 + 0.14607455483486284im
NaN + NaN*im,6.205966181448882 + 0.011449899964669082im,6.5540123851129914 - 0.24250847138642942im,6.841146058745476 + 0.1361704756308001im
NaN + NaN*im,6.204816911509568 + 0.0116452776497834im,6.541278945030158 - 0.25934160186545774im,6.840741596922547 + 0.1384240720502868im
NaN + NaN*im,6.202157117854743 + 0.011779384961073081im,6.527276078673712 - 0.276363338135586im,6.835417729793062 + 0.14074649449579738im
NaN + NaN*im,6.1995046479532725 + 0.011379314808607828im,6.515577056916157 - 0.29371299893216096im,6.825381858465892 + 0.14208376414091833im
