pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
6.162572297131541 - 5.774307188033464e-17im,NaN + NaN*im,7.046114948658541 + 0.20872439672958826im,NaN + NaN*im,NaN + NaN*im
6.146095240240176 + 2.0975415520601019e-16im,NaN + NaN*im,7.123250529572359 + 0.3854508690246372im,NaN + NaN*im,NaN + NaN*im
6.167786462853311 - 2.982703439280871e-17im,NaN + NaN*im,6.945868716723986 + 0.09918826889987634im,NaN + NaN*im,NaN + NaN*im
6.142574093190684 + 3.824585119270497e-16im,NaN + NaN*im,7.197701872306451 + 0.4374504590072032im,NaN + NaN*im,NaN + NaN*im
6.169356656736061 + 3.2909426165355896e-18im,NaN + NaN*im,6.921315082931071 + 0.10465873186156632im,NaN + NaN*im,NaN + NaN*im
6.13164856173551 + 4.609739785172641e-15im,NaN + NaN*im,7.1504850112604075 + 0.1895001882900142im,NaN + NaN*im,NaN + NaN*im
6.1788889983815745 + 5.351747394061289e-12im,NaN + NaN*im,6.982044785999841 + 0.1667508740123216im,NaN + NaN*im,NaN + NaN*im
6.132213053784357 + 2.7178239646228832e-15im,NaN + NaN*im,7.185325974219618 + 0.302658829312871im,NaN + NaN*im,NaN + NaN*im
6.172489933078129 + 1.6513547775100245e-10im,NaN + NaN*im,6.9284286042814704 + 0.11328557780485911im,NaN + NaN*im,NaN + NaN*im
6.13540672522087 + 2.853223259885002e-15im,NaN + NaN*im,7.138070146891359 + 0.17914688140100773im,NaN + NaN*im,NaN + NaN*im
6.179449922809506 + 3.3104548757935807e-12im,NaN + NaN*im,6.991773922602804 + 0.18360069548939653im,NaN + NaN*im,NaN + NaN*im
6.180049105030366 + 1.5681117594562622e-12im,NaN + NaN*im,7.053077200701625 + 0.2926760980168554im,NaN + NaN*im,NaN + NaN*im
6.131867760460379 + 5.329587499466152e-15im,NaN + NaN*im,7.095600077011116 + 0.1394006701477421im,NaN + NaN*im,NaN + NaN*im
6.148543792400007 + 1.711962186943563e-16im,NaN + NaN*im,7.254884116510721 + 0.390395008227097im,NaN + NaN*im,NaN + NaN*im
6.168912818633342 + 3.8445020120098013e-10im,NaN + NaN*im,6.951497682771124 + 0.17967103431001985im,NaN + NaN*im,NaN + NaN*im
6.152659209643835 + 1.6398273060558353e-16im,NaN + NaN*im,7.2328747339015695 + 0.3131205855756865im,NaN + NaN*im,NaN + NaN*im
6.146063700042572 + 2.1198444093260629e-16im,NaN + NaN*im,7.123487669628435 + 0.38526317821267625im,NaN + NaN*im,NaN + NaN*im
6.142577190497782 + 3.963302249204456e-16im,NaN + NaN*im,7.197738195433455 + 0.437403616865963im,NaN + NaN*im,NaN + NaN*im
6.169330930669437 + 1.495272576423452e-18im,NaN + NaN*im,6.921352159716207 + 0.1045922817135802im,NaN + NaN*im,NaN + NaN*im
6.146047284697023 + 1.4703668423316796e-16im,NaN + NaN*im,7.123477848919435 + 0.38506719504181436im,NaN + NaN*im,NaN + NaN*im
6.13167814429931 + 4.605993616527287e-15im,NaN + NaN*im,7.14995207284053 + 0.18920629646346543im,NaN + NaN*im,NaN + NaN*im
6.167631282192807 - 1.3290424639223722e-18im,NaN + NaN*im,6.945112508581916 + 0.0987764876214846im,NaN + NaN*im,NaN + NaN*im
6.17890668820505 + 5.2715274609251814e-12im,NaN + NaN*im,6.9824264570846175 + 0.1674390611632857im,NaN + NaN*im,NaN + NaN*im
6.1460651760890865 + 2.33907751337581e-16im,NaN + NaN*im,7.123379783259811 + 0.3850111313217816im,NaN + NaN*im,NaN + NaN*im
6.132250183040395 + 2.569002036030646e-15im,NaN + NaN*im,7.185424167999288 + 0.3031377511599857im,NaN + NaN*im,NaN + NaN*im
6.130515562718635 + 4.890455523470116e-15im,NaN + NaN*im,7.167903806545558 + 0.20669010069624863im,NaN + NaN*im,NaN + NaN*im
6.132220558485965 + 4.949930424935054e-15im,NaN + NaN*im,7.140724953622784 + 0.1589525812919494im,NaN + NaN*im,NaN + NaN*im
6.134537983930088 + 4.212761032453981e-15im,NaN + NaN*im,7.114883021988937 + 0.12979118938214376im,NaN + NaN*im,NaN + NaN*im
6.136978825072688 + 3.3912352482527697e-15im,NaN + NaN*im,7.089326585406162 + 0.10944108448183847im,NaN + NaN*im,NaN + NaN*im
6.139507665615088 + 2.6055342097036995e-15im,NaN + NaN*im,7.067618933388639 + 0.0963306331528272im,NaN + NaN*im,NaN + NaN*im
6.142055797920791 + 1.8799399294197174e-15im,NaN + NaN*im,7.047536902092052 + 0.087120357038901im,NaN + NaN*im,NaN + NaN*im
6.14453371654632 + 1.2317889946917467e-15im,NaN + NaN*im,7.029695919041071 + 0.08168621809840353im,NaN + NaN*im,NaN + NaN*im
6.146962115513924 + 8.721637298937882e-16im,NaN + NaN*im,7.0135303064628385 + 0.07847180121102793im,NaN + NaN*im,NaN + NaN*im
6.14928969249694 + 5.976761768809992e-16im,NaN + NaN*im,6.999428739757351 + 0.07627610771520267im,NaN + NaN*im,NaN + NaN*im
6.151913443789161 + 3.0181568635560365e-16im,NaN + NaN*im,6.989093555764877 + 0.07740231766538697im,NaN + NaN*im,NaN + NaN*im
6.154247238515016 + 1.2430423650634183e-16im,NaN + NaN*im,6.97891184287894 + 0.07800907428567036im,NaN + NaN*im,NaN + NaN*im
6.156777475619368 + 1.1307849975739384e-16im,NaN + NaN*im,6.969919300108897 + 0.08085736916372026im,NaN + NaN*im,NaN + NaN*im
6.161958198063875 - 1.992154118081222e-17im,NaN + NaN*im,6.957138290355398 + 0.08771365974439121im,NaN + NaN*im,NaN + NaN*im
6.1676844148831265 + 5.0387997767652993e-17im,NaN + NaN*im,6.946452490753362 + 0.09891414106189211im,NaN + NaN*im,NaN + NaN*im
6.175276660390899 + 5.121328309107345e-11im,NaN + NaN*im,6.94280508577542 + 0.1270863083555471im,NaN + NaN*im,NaN + NaN*im
6.177843989860496 + 1.1808820714315437e-11im,NaN + NaN*im,6.945968302914162 + 0.15015247660415343im,NaN + NaN*im,NaN + NaN*im
6.178760975507829 + 5.917928408855224e-12im,NaN + NaN*im,6.951446743472647 + 0.1688570007048431im,NaN + NaN*im,NaN + NaN*im
6.179044830612223 + 4.5374991036229334e-12im,NaN + NaN*im,6.957806822044674 + 0.18651512018943936im,NaN + NaN*im,NaN + NaN*im
6.1788220470767765 + 5.1752022912988755e-12im,NaN + NaN*im,6.963530342606308 + 0.2033656699750078im,NaN + NaN*im,NaN + NaN*im
6.1783294142385365 + 7.113441614253315e-12im,NaN + NaN*im,6.970365648655263 + 0.22072843142633564im,NaN + NaN*im,NaN + NaN*im
6.177567774280921 + 1.1268199063018139e-11im,NaN + NaN*im,6.977958246743538 + 0.23902987183895738im,NaN + NaN*im,NaN + NaN*im
6.176400562875134 + 2.1142414855385974e-11im,NaN + NaN*im,6.98529270228951 + 0.2562024856505177im,NaN + NaN*im,NaN + NaN*im
6.174947074336849 + 4.1121846622330525e-11im,NaN + NaN*im,6.993554795272599 + 0.27396185114158506im,NaN + NaN*im,NaN + NaN*im
6.173210120381791 + 8.008667649279512e-11im,NaN + NaN*im,7.002800313737892 + 0.29273170230099893im,NaN + NaN*im,NaN + NaN*im
6.170996061895898 + 1.6278734417089503e-10im,NaN + NaN*im,7.01254837431803 + 0.30972315681603135im,NaN + NaN*im,NaN + NaN*im
6.16844692805291 + 3.17924419645565e-10im,NaN + NaN*im,7.024015386406938 + 0.3275246780401224im,NaN + NaN*im,NaN + NaN*im
6.165416392831523 + 6.112631871810787e-10im,NaN + NaN*im,7.037425888628135 + 0.3452980170370433im,NaN + NaN*im,NaN + NaN*im
6.157493507372413 + 1.8776801795197022e-17im,NaN + NaN*im,7.071650783520432 + 0.37541984436551457im,NaN + NaN*im,NaN + NaN*im
6.146034067583871 + 1.7696847112438916e-16im,NaN + NaN*im,7.123139214622188 + 0.3846519336192464im,NaN + NaN*im,NaN + NaN*im
6.158140175792402 - 5.426501356461404e-17im,NaN + NaN*im,7.08351176816872 + 0.40014609591364053im,NaN + NaN*im,NaN + NaN*im
6.167927879782211 + 3.3456413356295034e-10im,NaN + NaN*im,7.057673126107161 + 0.3857264295895984im,NaN + NaN*im,NaN + NaN*im
6.174949205145635 + 3.6564439107460595e-11im,NaN + NaN*im,7.048030987912356 + 0.35820380838705657im,NaN + NaN*im,NaN + NaN*im
6.178919660231951 + 3.96004513041014e-12im,NaN + NaN*im,7.050019880148937 + 0.32155789366279197im,NaN + NaN*im,NaN + NaN*im
6.179919327303798 + 2.0030640121987985e-12im,NaN + NaN*im,7.045292507168724 + 0.2278924791015979im,NaN + NaN*im,NaN + NaN*im
6.172656774320204 + 1.5008575421984342e-10im,NaN + NaN*im,6.968531011762729 + 0.1167593713439668im,NaN + NaN*im,NaN + NaN*im
6.161243509906807 + 2.0802675889589937e-17im,NaN + NaN*im,6.92661877986901 + 0.08767091559662361im,NaN + NaN*im,NaN + NaN*im
6.153303145394519 + 2.4731393535403816e-16im,NaN + NaN*im,6.952737039459177 + 0.07856331237991863im,NaN + NaN*im,NaN + NaN*im
6.147037306145691 + 8.847059320322399e-16im,NaN + NaN*im,6.975862373189173 + 0.07631559715872362im,NaN + NaN*im,NaN + NaN*im
6.141242521945478 + 2.297801707043949e-15im,NaN + NaN*im,7.008217295771688 + 0.08130022843367155im,NaN + NaN*im,NaN + NaN*im
6.1349358365173705 + 4.400730157038017e-15im,NaN + NaN*im,7.064492628223052 + 0.10893287099379258im,NaN + NaN*im,NaN + NaN*im
6.130580892042967 + 5.067818730145899e-15im,NaN + NaN*im,7.129466149691927 + 0.18131777347837033im,NaN + NaN*im,NaN + NaN*im
6.13743319662383 + 1.100608853257963e-15im,NaN + NaN*im,7.1511754081162415 + 0.3398824850504909im,NaN + NaN*im,NaN + NaN*im
6.154354882021005 - 7.315411215900034e-18im,NaN + NaN*im,7.095479491707322 + 0.39969592473792365im,NaN + NaN*im,NaN + NaN*im
6.1649755583764865 + 6.289932126832758e-10im,NaN + NaN*im,7.064695788389308 + 0.39285391086621635im,NaN + NaN*im,NaN + NaN*im
6.1729417888913405 + 7.972713588192575e-11im,NaN + NaN*im,7.0495178638973375 + 0.36833607873598345im,NaN + NaN*im,NaN + NaN*im
6.177915706189553 + 7.863788815779015e-12im,NaN + NaN*im,7.048842327092803 + 0.3345623439119907im,NaN + NaN*im,NaN + NaN*im
6.180057572537212 + 1.5564901446474407e-12im,NaN + NaN*im,7.052714592697491 + 0.2920272245032118im,NaN + NaN*im,NaN + NaN*im
6.17889784323674 + 5.1031468092149805e-12im,NaN + NaN*im,7.033414549926282 + 0.19485873010969346im,NaN + NaN*im,NaN + NaN*im
6.17560773337428 + 4.174935717276101e-11im,NaN + NaN*im,6.993499755337376 + 0.13906738725523043im,NaN + NaN*im,NaN + NaN*im
6.167713473193318 - 5.4683034663841696e-18im,NaN + NaN*im,6.946473389803591 + 0.09896857221672307im,NaN + NaN*im,NaN + NaN*im
6.154507523654795 + 1.2158949921911424e-16im,NaN + NaN*im,6.949636177268954 + 0.07954100095915577im,NaN + NaN*im,NaN + NaN*im
6.145030540095545 + 1.3036264412835352e-15im,NaN + NaN*im,6.986328850220405 + 0.07703427893199125im,NaN + NaN*im,NaN + NaN*im
6.136694257487206 + 3.806399050577706e-15im,NaN + NaN*im,7.046200602571432 + 0.09700947505333415im,NaN + NaN*im,NaN + NaN*im
