pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
NaN + NaN*im,6.1887957160334715 - 1.4078588117058727e-11im,6.895617114201098 + 0.17936027639594104im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1902021401769725 + 8.467557453038061e-12im,6.859117293169115 + 0.2507818925964379im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190610566966389 - 6.096321155681615e-11im,6.974390806205128 + 0.41686013841103187im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191437212171929 - 6.795202284304485e-15im,6.879026659450747 + 0.16282871919799902im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191783081795968 - 3.057992753913107e-13im,7.0216465904576815 + 0.3718693021044799im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.19022704574554 + 9.37518863780486e-12im,7.024736854869051 + 0.4924336303563628im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.182592891412862 + 3.207230905826772e-13im,6.933680913204916 - 0.03180615602753196im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190020325968253 + 3.447164249386647e-12im,6.779116706064779 + 0.1358199837927568im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190345947012805 - 7.63908615539693e-13im,6.79654873637694 + 0.17446627295858472im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190279429342785 + 5.442979574804321e-12im,6.859071742513593 + 0.25128398262631035im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.18253954969395 + 2.0770028142838543e-13im,6.833589690456166 + 0.12286010911827076im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191871524790202 - 5.344298821328456e-13im,6.899401142192549 + 0.18559162257780823im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189561463754602 - 2.428640237813704e-12im,6.853111063825175 + 0.23932463898449072im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191733118884266 - 1.9690985730115626e-13im,7.068820153958046 + 0.43777479801457975im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.182753890726234 + 7.289644741651077e-14im,6.841314027661136 + 0.1308265218380866im,NaN + NaN*im,NaN + NaN*im
6.162377996241811 + 1.2218470116477984e-17im,NaN + NaN*im,6.846056586671356 + 0.07831827023562492im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.182524670871973 + 2.200398031409379e-13im,6.8342218938931465 + 0.12293144603941909im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1918690006120345 - 5.211650134768747e-13im,6.897465344902498 + 0.18489393363440823im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1917377187837 - 2.0612314687383701e-13im,7.069618413694649 + 0.4370982521801235im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1907942171852675 - 5.216371507671693e-11im,6.840139569392327 + 0.1498104797598904im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.182736402819948 + 8.333181132330654e-14im,6.842020836390144 + 0.13103848593851225im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.18807269055021 + 2.4007638561522198e-17im,6.992635104684292 + 0.17776682982250008im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188917538444187 + 7.130844848717037e-12im,6.821658457271966 + 0.14493123281030795im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189963741953765 + 1.4036036043079201e-12im,7.065445454292064 + 0.40630400861741756im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189998959399427 + 3.3504351137468136e-12im,7.064374595243642 + 0.40693975449172287im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190033640795863 + 5.20483243825646e-12im,7.064440535593781 + 0.4084362025460395im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.19008890641622 + 7.759445635529783e-12im,7.064391551174098 + 0.4136794503936104im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190208460353021 + 9.405842625540695e-12im,7.066129209210289 + 0.4209063432790374im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190434781548269 - 1.5956728703573605e-11im,7.068467867469888 + 0.4372658838389611im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190920692387137 - 1.1663111580375645e-17im,7.069297536279887 + 0.4534827980492566im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191734148220881 - 1.992313870083261e-13im,7.069942519169866 + 0.4396398125574398im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191866507941938 - 5.09941056724652e-13im,6.897158319125479 + 0.18466608936961212im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189802570937511 - 4.443688404663628e-12im,6.821315429602848 + 0.14416446623569942im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188186169753105 + 3.5714955261906394e-17im,6.82489293429147 + 0.14860662083034015im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1846801395974325 - 7.534515574912266e-14im,6.857608573239185 + 0.15942697689598526im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.182754285048013 + 7.243823859094645e-14im,6.841350587010178 + 0.13101162079485976im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1887957160334715 - 1.4078588117058727e-11im,6.895617114201098 + 0.17936027639594104im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1894843522816 + 1.728280654647635e-12im,6.993512615333345 + 0.28558671137168534im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190026470046371 + 4.135336119380458e-12im,6.826210643556362 + 0.1975511316242327im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189938730092983 + 1.3295965064650432e-13im,6.805730731577015 + 0.16950070287554253im,NaN + NaN*im,NaN + NaN*im
